"Customer Profile","Mijoz profili"
"Are you sure you want to discard the changes?","O'zgarishlarni bekor qilmoqchimisiz?"
"This action is irreversible. Do you wish to continue?","Bu amalni qaytarib bo'lmaydi. Davom etmoqchimisiz?"
"Are you sure you want to cancel?","Bekor qilmoqchimisiz?"
"No data to export","Eksport qilish uchun ma'lumot yo'q"
"No records deleted","Hech qanday yozuv o'chirilmadi"
"Deleted all documents successfully","Barcha hujjatlar muvaffaqiyatli o'chirildi"
"Showing only first {0} rows out of {1}","{1} ta satrdan faqat birinchi {0} tasi ko'rsatilmoqda"
"1 record will be exported","1 ta yozuv eksport qilinadi"
"1 day ago","1 kun oldin"
"1 hour ago","1 soat oldin"
"1 minute ago","1 daqiqa oldin"
"1 second ago","1 soniya oldin"
"1 week ago","1 hafta oldin"
"1 month ago","1 oy oldin"
"1 year ago","1 yil oldin"
"2 hours ago","2 soat oldin"
"2 months ago","2 oy oldin"
"2 weeks ago","2 hafta oldin"
"2 years ago","2 yil oldin"
"3 minutes ago","3 daqiqa oldin"
"5 days ago","5 kun oldin"
"About {0} minute remaining","Taxminan {0} daqiqa qoldi"
"About {0} minutes remaining","Taxminan {0} daqiqa qoldi"
"About {0} seconds remaining","Taxminan {0} soniya qoldi"
"Дашборд","Boshqaruv paneli"
"Товары","Mahsulotlar"
"Настройки","Sozlamalar"
"💰 Основное","💰 Asosiy"
"👥 Клиенты","👥 Mijozlar"
"📦 Операции","📦 Operatsiyalar"
"⚙️ Финансы","⚙️ Moliya"
"📞 Взыскание и платежи","📞 Undirish va to'lovlar"
"Быстрые действия","Tezkor amallar"
"Расходы","Xarajatlar"
